,frame_no,x,y,w,h
287,2031,1674,1148,180,180
288,2031,1830,1670,180,180
289,2031,1463,1290,180,180
290,2031,3035,1349,180,180
291,2031,1655,1563,180,180
292,2031,2668,1804,180,180
293,2031,1422,810,180,180
294,2031,1770,1277,180,180
295,2031,1491,663,180,180
296,2032,1676,1149,180,180
297,2032,1463,1290,180,180
298,2032,2050,888,180,180
299,2032,1489,648,180,180
300,2032,3035,1349,180,180
301,2032,2668,1804,180,180
302,2032,1783,1244,180,180
303,2032,1830,1670,180,180
304,2032,1429,784,180,180
305,2032,1655,1563,180,180
306,2033,1784,1235,180,180
307,2033,1464,1290,180,180
308,2033,2049,869,180,180
309,2033,1830,1670,180,180
310,2033,3035,1349,180,180
311,2033,1488,642,180,180
312,2033,1655,1563,180,180
313,2033,2668,1804,180,180
314,2033,1430,769,180,180
315,2033,1676,1149,180,180
316,2034,1464,1289,180,180
317,2034,1794,1228,180,180
318,2034,2044,849,180,180
319,2034,1428,750,180,180
320,2034,1676,1150,180,180
321,2034,3035,1349,180,180
322,2034,1655,1562,180,180
323,2034,1488,641,180,180
324,2034,2668,1804,180,180
325,2034,1831,1670,180,180
326,2035,1464,1290,180,180
327,2035,1676,1150,180,180
328,2035,1428,747,180,180
329,2035,1831,1670,180,180
330,2035,3035,1349,180,180
331,2035,1655,1562,180,180
332,2035,1796,1224,180,180
333,2035,2668,1804,180,180
334,2035,2043,836,180,180
335,2035,1488,638,180,180
336,2036,1671,1151,180,180
337,2036,1464,1289,180,180
338,2036,1487,638,180,180
339,2036,1430,736,180,180
340,2036,2668,1804,180,180
341,2036,2043,835,180,180
342,2036,1808,1216,180,180
343,2036,1655,1562,180,180
344,2036,3035,1349,180,180
345,2036,1834,1670,180,180
346,2037,2043,831,180,180
347,2037,1817,1210,180,180
348,2037,1487,638,180,180
349,2037,1436,728,180,180
350,2037,2668,1804,180,180
351,2037,1664,1150,180,180
352,2037,1464,1289,180,180
353,2037,1833,1670,180,180
354,2037,1654,1562,180,180
355,2037,3035,1349,180,180
356,2038,2043,831,180,180
357,2038,1464,1289,180,180
358,2038,1487,637,180,180
359,2038,1833,1670,180,180
360,2038,3035,1349,180,180
361,2038,1824,1212,180,180
362,2038,2668,1804,180,180
363,2038,1650,1557,180,180
364,2038,1442,724,180,180
365,2039,2043,831,180,180
366,2039,1437,725,180,180
367,2039,1830,1670,180,180
368,2039,1488,637,180,180
369,2039,3035,1349,180,180
370,2039,1824,1212,180,180
371,2039,1647,1156,180,180
372,2039,2668,1804,180,180
373,2039,1650,1549,180,180
374,2039,1464,1289,180,180
375,2040,2043,831,180,180
376,2040,1464,1290,180,180
377,2040,3035,1349,180,180
378,2040,1830,1670,180,180
379,2040,1650,1538,180,180
380,2040,2668,1804,180,180
381,2040,1824,1212,180,180
382,2040,1636,1157,180,180
383,2040,1490,636,180,180
384,2040,1435,730,180,180
385,2041,1464,1289,180,180
386,2041,2043,833,180,180
387,2041,1654,1524,180,180
388,2041,3034,1349,180,180
389,2041,1830,1670,180,180
390,2041,1630,1156,180,180
391,2041,2668,1804,180,180
392,2041,1508,623,180,180
393,2041,1824,1212,180,180
394,2041,1437,745,180,180
395,2042,1464,1289,180,180
396,2042,2043,833,180,180
397,2042,1516,611,180,180
398,2042,1449,769,180,180
399,2042,2668,1804,180,180
400,2042,1830,1670,180,180
401,2042,1817,1208,180,180
402,2042,3034,1349,180,180
403,2042,1655,1523,180,180
404,2042,1622,1155,180,180
405,2043,2043,833,180,180
406,2043,1463,782,180,180
407,2043,1615,1151,180,180
408,2043,1816,1198,180,180
409,2043,1830,1669,180,180
410,2043,1655,1523,180,180
411,2043,3034,1349,180,180
412,2043,2668,1804,180,180
413,2043,1537,576,180,180
414,2043,1464,1289,180,180
415,2044,2043,833,180,180
416,2044,3034,1349,180,180
417,2044,1614,1151,180,180
418,2044,1814,1191,180,180
419,2044,1830,1670,180,180
420,2044,1475,784,180,180
421,2044,1655,1523,180,180
422,2044,2668,1804,180,180
423,2044,1549,524,180,180
424,2044,1465,1289,180,180
425,2045,2043,833,180,180
426,2045,1467,1286,180,180
427,2045,1811,1190,180,180
428,2045,1564,504,180,180
429,2045,1830,1670,180,180
430,2045,1609,1155,180,180
431,2045,3034,1349,180,180
432,2045,1656,1522,180,180
433,2045,2668,1804,180,180
434,2045,1496,798,180,180
435,2046,2043,833,180,180
436,2046,1656,1522,180,180
437,2046,1602,476,180,180
438,2046,1465,1290,180,180
439,2046,1830,1669,180,180
440,2046,1608,1151,180,180
441,2046,1811,1189,180,180
442,2046,3034,1349,180,180
443,2046,2668,1804,180,180
444,2047,1465,1289,180,180
445,2047,2668,1804,180,180
446,2047,2022,828,180,180
447,2047,1656,1522,180,180
448,2047,1608,1150,180,180
449,2047,3035,1349,180,180
450,2047,1811,1189,180,180
451,2047,1830,1670,180,180
452,2047,1577,823,180,180
453,2047,1634,443,180,180
454,2048,1465,1289,180,180
455,2048,1690,391,180,180
456,2048,1624,821,180,180
457,2048,1811,1189,180,180
458,2048,3035,1349,180,180
459,2048,1655,1522,180,180
460,2048,2668,1804,180,180
461,2048,1607,1150,180,180
462,2048,2001,818,180,180
463,2048,1830,1670,180,180
464,2049,1467,1286,180,180
465,2049,1771,319,180,180
466,2049,1831,1670,180,180
467,2049,1811,1189,180,180
468,2049,1607,1150,180,180
469,2049,1996,818,180,180
470,2049,3035,1349,180,180
471,2049,1655,1522,180,180
472,2049,2668,1804,180,180
473,2049,1655,824,180,180
474,2050,1467,1286,180,180
475,2050,1841,285,180,180
476,2050,1997,818,180,180
477,2050,1607,1155,180,180
478,2050,1830,1670,180,180
479,2050,3035,1349,180,180
480,2050,1795,1175,180,180
481,2050,1655,1522,180,180
482,2050,2668,1804,180,180
483,2050,1668,842,180,180
484,2051,1676,848,180,180
485,2051,1788,1169,180,180
486,2051,2668,1804,180,180
487,2051,3035,1349,180,180
488,2051,1465,1289,180,180
489,2051,1608,1155,180,180
490,2051,1830,1670,180,180
491,2051,1950,849,180,180
492,2051,1655,1522,180,180
493,2052,1927,857,180,180
494,2052,1465,1289,180,180
495,2052,1830,1670,180,180
496,2052,1968,297,180,180
497,2052,3035,1349,180,180
498,2052,1608,1155,180,180
499,2052,2668,1804,180,180
500,2052,1656,1521,180,180
501,2052,1788,1168,180,180
502,2052,1676,845,180,180
503,2053,1921,857,180,180
504,2053,1469,1288,180,180
505,2053,1656,1521,180,180
506,2053,1788,1168,180,180
507,2053,3035,1349,180,180
508,2053,1677,849,180,180
509,2053,1609,1156,180,180
510,2053,1833,1670,180,180
511,2053,2668,1804,180,180
512,2054,1916,853,180,180
513,2054,1917,861,180,180
514,2054,1469,1288,180,180
515,2054,1833,1670,180,180
516,2054,2668,1804,180,180
517,2054,1788,1168,180,180
518,2054,3035,1349,180,180
519,2054,1656,1521,180,180
520,2054,1609,1156,180,180
521,2054,1696,855,180,180
522,2055,1903,857,180,180
523,2055,1469,1288,180,180
524,2055,1608,1162,180,180
525,2055,1700,855,180,180
526,2055,1788,1168,180,180
527,2055,2668,1804,180,180
528,2055,3035,1349,180,180
529,2055,1656,1521,180,180
530,2055,1833,1670,180,180
531,2056,1871,857,180,180
532,2056,1601,1171,180,180
533,2056,1833,1670,180,180
534,2056,1701,855,180,180
535,2056,1788,1168,180,180
536,2056,2668,1804,180,180
537,2056,1656,1521,180,180
538,2056,3034,1349,180,180
539,2056,1469,1288,180,180
540,2057,1763,1183,180,180
541,2057,1469,1288,180,180
542,2057,1589,1188,180,180
543,2057,3034,1349,180,180
544,2057,2668,1804,180,180
545,2057,1869,857,180,180
546,2057,1701,856,180,180
547,2057,1833,1670,180,180
548,2057,1656,1521,180,180
549,2058,1863,862,180,180
550,2058,1731,1191,180,180
551,2058,1469,1289,180,180
552,2058,1833,1670,180,180
553,2058,1656,1521,180,180
554,2058,2668,1804,180,180
555,2058,3034,1349,180,180
556,2058,1588,1190,180,180
557,2058,1723,856,180,180
558,2059,1860,849,180,180
559,2059,1716,1189,180,180
560,2059,1469,1288,180,180
561,2059,1830,1670,180,180
562,2059,1743,856,180,180
563,2059,2668,1804,180,180
564,2059,1657,1516,180,180
565,2059,3034,1349,180,180
566,2059,1588,1190,180,180
567,2060,1864,852,180,180
568,2060,1748,856,180,180
569,2060,2668,1804,180,180
570,2060,1657,1516,180,180
571,2060,1588,1190,180,180
572,2060,1714,1189,180,180
573,2060,1833,1670,180,180
574,2060,1476,1291,180,180
575,2060,3034,1349,180,180
576,2061,1710,1183,180,180
577,2061,1478,1296,180,180
578,2061,1749,857,180,180
579,2061,1830,1670,180,180
580,2061,2668,1804,180,180
581,2061,1588,1191,180,180
582,2061,1657,1515,180,180
583,2061,3034,1349,180,180
584,2061,1857,846,180,180
585,2062,1830,1670,180,180
586,2062,3034,1349,180,180
587,2062,1748,862,180,180
588,2062,1657,1516,180,180
589,2062,1477,1297,180,180
590,2062,1702,1182,180,180
591,2062,1587,1195,180,180
592,2062,2668,1804,180,180
593,2063,1710,1170,180,180
594,2063,1478,1297,180,180
595,2063,1830,1670,180,180
596,2063,1871,837,180,180
597,2063,1588,1196,180,180
598,2063,1657,1515,180,180
599,2063,2668,1804,180,180
600,2063,3034,1349,180,180
601,2063,1753,883,180,180
602,2064,1830,1670,180,180
603,2064,1478,1297,180,180
604,2064,1588,1196,180,180
605,2064,2668,1804,180,180
606,2064,1657,1515,180,180
607,2064,1881,829,180,180
608,2064,1770,911,180,180
609,2064,3034,1349,180,180
610,2064,1716,1143,180,180
611,2065,1478,1297,180,180
612,2065,1830,1670,180,180
613,2065,1808,952,180,180
614,2065,1707,1122,180,180
615,2065,2668,1804,180,180
616,2065,1896,822,180,180
617,2065,1657,1515,180,180
618,2065,3034,1349,180,180
619,2065,1587,1191,180,180
620,2066,1695,1116,180,180
621,2066,1478,1297,180,180
622,2066,1830,1670,180,180
623,2066,2668,1804,180,180
624,2066,1657,1515,180,180
625,2066,3034,1349,180,180
626,2066,1910,803,180,180
627,2066,1583,1190,180,180
628,2066,1843,984,180,180
629,2067,1574,1184,180,180
630,2067,1478,1297,180,180
631,2067,1833,1670,180,180
632,2067,1881,1002,180,180
633,2067,2668,1804,180,180
634,2067,1657,1516,180,180
635,2067,3034,1349,180,180
636,2067,1923,781,180,180
637,2067,1693,1116,180,180
638,2068,1682,1118,180,180
639,2068,1477,1297,180,180
640,2068,1833,1670,180,180
641,2068,1570,1185,180,180
642,2068,1934,750,180,180
643,2068,1917,1003,180,180
644,2068,2668,1804,180,180
645,2068,3034,1349,180,180
646,2068,1657,1515,180,180
647,2069,1682,1119,180,180
648,2069,3034,1349,180,180
649,2069,1657,1515,180,180
650,2069,1564,1183,180,180
651,2069,1477,1297,180,180
652,2069,2668,1804,180,180
653,2069,1833,1670,180,180
654,2069,1954,998,180,180
655,2069,1942,723,180,180
656,2070,1682,1118,180,180
657,2070,1978,990,180,180
658,2070,1557,1175,180,180
659,2070,1833,1670,180,180
660,2070,1954,689,180,180
661,2070,1657,1515,180,180
662,2070,2668,1804,180,180
663,2070,3034,1349,180,180
664,2071,1477,1297,180,180
665,2071,1555,1170,180,180
666,2071,1988,990,180,180
667,2071,1962,657,180,180
668,2071,1830,1670,180,180
669,2071,1657,1515,180,180
670,2071,2668,1804,180,180
671,2071,3034,1349,180,180
672,2072,1990,989,180,180
673,2072,1549,1174,180,180
674,2072,1830,1670,180,180
675,2072,1657,1515,180,180
676,2072,2668,1804,180,180
677,2072,3034,1349,180,180
678,2072,1971,629,180,180
679,2073,1995,988,180,180
680,2073,1548,1172,180,180
681,2073,1987,601,180,180
682,2073,1830,1670,180,180
683,2073,1478,1297,180,180
684,2073,2668,1804,180,180
685,2073,1657,1515,180,180
686,2073,3034,1349,180,180
687,2074,2003,981,180,180
688,2074,2668,1804,180,180
689,2074,1990,571,180,180
690,2074,1830,1670,180,180
691,2074,1478,1297,180,180
692,2074,1657,1515,180,180
693,2074,3034,1349,180,180
694,2074,1548,1173,180,180
695,2075,1994,556,180,180
696,2075,1681,1122,180,180
697,2075,1830,1670,180,180
698,2075,1477,1297,180,180
699,2075,1657,1515,180,180
700,2075,1550,1177,180,180
701,2075,3034,1349,180,180
702,2075,2668,1804,180,180
703,2075,2003,984,180,180
704,2076,2003,984,180,180
705,2076,1990,534,180,180
706,2076,1554,1182,180,180
707,2076,1649,1132,180,180
708,2076,1475,1297,180,180
709,2076,1830,1670,180,180
710,2076,1657,1515,180,180
711,2076,3034,1349,180,180
712,2076,2668,1804,180,180
713,2077,1994,516,180,180
714,2077,1628,1129,180,180
715,2077,1830,1670,180,180
716,2077,2668,1804,180,180
717,2077,3034,1349,180,180
718,2077,1469,1297,180,180
719,2077,1555,1184,180,180
720,2077,1655,1489,180,180
721,2077,2005,984,180,180
722,2078,2005,988,180,180
723,2078,2668,1804,180,180
724,2078,1634,1123,180,180
725,2078,1831,1670,180,180
726,2078,1469,1296,180,180
727,2078,3034,1349,180,180
728,2078,1543,1202,180,180
729,2078,1998,509,180,180
730,2079,1650,1323,180,180
731,2079,1831,1670,180,180
732,2079,3034,1349,180,180
733,2079,2668,1804,180,180
734,2079,1548,1202,180,180
735,2079,1640,1115,180,180
736,2080,2002,503,180,180
737,2080,1641,1103,180,180
738,2080,1831,1670,180,180
739,2080,1549,1202,180,180
740,2080,3034,1349,180,180
741,2080,2668,1804,180,180
742,2080,1650,1320,180,180
743,2081,2004,490,180,180
744,2081,1622,1091,180,180
745,2081,1831,1670,180,180
746,2081,1651,1316,180,180
747,2081,3034,1349,180,180
748,2081,2668,1804,180,180
749,2081,1548,1203,180,180
750,2082,2004,488,180,180
751,2082,1634,1092,180,180
752,2082,1543,1202,180,180
753,2082,2668,1804,180,180
754,2082,3034,1349,180,180
755,2082,1831,1670,180,180
756,2083,1667,1179,180,180
757,2083,1831,1670,180,180
758,2083,2433,263,180,180
759,2083,3034,1349,180,180
760,2083,2668,1804,180,180
761,2083,1543,1204,180,180
762,2083,2037,474,180,180
763,2084,2076,451,180,180
764,2084,1668,1176,180,180
765,2084,1641,1083,180,180
766,2084,3034,1349,180,180
767,2084,1550,1205,180,180
768,2084,2668,1804,180,180
769,2084,1549,1371,180,180
770,2084,1830,1670,180,180
771,2085,2684,336,180,180
772,2085,1830,1670,180,180
773,2085,3034,1349,180,180
774,2085,1600,1430,180,180
775,2085,1550,1211,180,180
776,2085,2668,1804,180,180
777,2085,1640,1071,180,180
778,2086,1674,1177,180,180
779,2086,2668,1804,180,180
780,2086,3034,1349,180,180
781,2086,1830,1670,180,180
782,2086,1656,1484,180,180
783,2086,1622,1044,180,180
784,2086,2783,406,180,180
785,2086,2103,432,180,180
786,2087,1600,1053,180,180
787,2087,2023,989,180,180
788,2087,2668,1804,180,180
789,2087,1601,1047,180,180
790,2087,1830,1670,180,180
791,2087,1535,1224,180,180
792,2087,2102,432,180,180
793,2087,3034,1349,180,180
794,2087,1690,1170,180,180
795,2087,2843,472,180,180
796,2088,2103,431,180,180
797,2088,2042,984,180,180
798,2088,1710,1155,180,180
799,2088,1756,1464,180,180
800,2088,2668,1804,180,180
801,2088,3034,1349,180,180
802,2088,1528,1230,180,180
803,2088,1588,1063,180,180
804,2088,1830,1670,180,180
805,2089,2103,432,180,180
806,2089,1730,1135,180,180
807,2089,1757,1464,180,180
808,2089,1588,1070,180,180
809,2089,1830,1670,180,180
810,2089,3034,1349,180,180
811,2089,2668,1804,180,180
812,2089,2064,991,180,180
813,2090,2103,432,180,180
814,2090,2668,1804,180,180
815,2090,2095,997,180,180
816,2090,3034,1349,180,180
817,2090,1522,1248,180,180
818,2090,1757,1465,180,180
819,2090,1588,1070,180,180
820,2090,1830,1670,180,180
821,2091,2103,439,180,180
822,2091,1523,1261,180,180
823,2091,1761,1048,180,180
824,2091,1587,1071,180,180
825,2091,1758,1465,180,180
826,2091,2102,1009,180,180
827,2091,1830,1670,180,180
828,2091,3034,1349,180,180
829,2091,2668,1804,180,180
830,2091,2103,433,180,180
831,2092,2103,432,180,180
832,2092,2097,1021,180,180
833,2092,1588,1070,180,180
834,2092,1761,1464,180,180
835,2092,1763,997,180,180
836,2092,1830,1670,180,180
837,2092,3034,1349,180,180
838,2092,2668,1804,180,180
839,2092,1522,1268,180,180
840,2092,2946,622,180,180
841,2093,2103,433,180,180
842,2093,1761,1464,180,180
843,2093,1589,1070,180,180
844,2093,2096,1036,180,180
845,2093,1830,1670,180,180
846,2093,2668,1804,180,180
847,2093,3034,1349,180,180
848,2093,1523,1276,180,180
849,2093,2946,630,180,180
850,2094,2097,1057,180,180
851,2094,3034,1349,180,180
852,2094,1523,1285,180,180
853,2094,1830,1670,180,180
854,2094,1762,1464,180,180
855,2094,2668,1804,180,180
856,2094,1751,963,180,180
857,2094,1589,1070,180,180
858,2094,2103,433,180,180
859,2095,1587,1068,180,180
860,2095,2103,433,180,180
861,2095,1750,950,180,180
862,2095,1830,1670,180,180
863,2095,2668,1804,180,180
864,2095,1761,1465,180,180
865,2095,3034,1349,180,180
866,2095,2109,1077,180,180
867,2095,1524,1295,180,180
868,2096,1570,1047,180,180
869,2096,2104,433,180,180
870,2096,1757,938,180,180
871,2096,2129,1091,180,180
872,2096,1830,1670,180,180
873,2096,1529,1298,180,180
874,2096,2668,1804,180,180
875,2096,3034,1349,180,180
876,2096,1761,1465,180,180
877,2096,1570,1054,180,180
878,2097,1570,1047,180,180
879,2097,2104,433,180,180
880,2097,1758,924,180,180
881,2097,1831,1670,180,180
882,2097,1529,1298,180,180
883,2097,2668,1804,180,180
884,2097,3034,1349,180,180
885,2097,1761,1465,180,180
886,2097,2151,1111,180,180
887,2098,2104,433,180,180
888,2098,1761,1465,180,180
889,2098,1749,912,180,180
890,2098,1830,1670,180,180
891,2098,1529,1298,180,180
892,2098,3034,1349,180,180
893,2098,2177,1124,180,180
894,2098,2668,1804,180,180
895,2099,1730,895,180,180
896,2099,1763,1469,180,180
897,2099,2195,1148,180,180
898,2099,1830,1670,180,180
899,2099,1529,1302,180,180
900,2099,3034,1349,180,180
901,2099,2668,1804,180,180
902,2099,2104,433,180,180
903,2100,1570,1047,180,180
904,2100,2104,433,180,180
905,2100,1830,1670,180,180
906,2100,3034,1349,180,180
907,2100,2200,1175,180,180
908,2100,2668,1804,180,180
909,2100,1529,1302,180,180
910,2100,1718,864,180,180
911,2101,2103,433,180,180
912,2101,1529,1303,180,180
913,2101,1714,849,180,180
914,2101,1830,1670,180,180
915,2101,3034,1349,180,180
916,2101,2668,1804,180,180
917,2101,2204,1178,180,180
918,2102,1570,1047,180,180
919,2102,2103,435,180,180
920,2102,1716,837,180,180
921,2102,2208,1182,180,180
922,2102,1831,1670,180,180
923,2102,1529,1304,180,180
924,2102,3034,1349,180,180
925,2102,2668,1804,180,180
926,2102,3181,811,180,180
927,2103,2215,1196,180,180
928,2103,2103,434,180,180
929,2103,1728,830,180,180
930,2103,1830,1670,180,180
931,2103,3034,1349,180,180
932,2103,2668,1804,180,180
933,2103,1529,1308,180,180
934,2103,1568,1056,180,180
935,2104,1548,1071,180,180
936,2104,1748,823,180,180
937,2104,2103,436,180,180
938,2104,1788,1482,180,180
939,2104,1534,1310,180,180
940,2104,1830,1670,180,180
941,2104,3034,1349,180,180
942,2104,2668,1804,180,180
943,2104,2216,1197,180,180
944,2105,1831,1670,180,180
